Topic_ID,Subject,Grade,Topic,Description,Keywords,Difficulty
1,Science,1,Introduction to Light (Basics),"Learn about the foundational elements, mechanisms, and real-world importance of Light tailored for Grade 1 students.","science, grade 1, light, basics",Easy
2,Science,1,Introduction to Sound (Principles),"Learn about the foundational elements, mechanisms, and real-world importance of Sound tailored for Grade 1 students.","science, grade 1, sound, principles",Easy
3,Science,1,Introduction to Electricity (Applications),"Learn about the foundational elements, mechanisms, and real-world importance of Electricity tailored for Grade 1 students.","science, grade 1, electricity, applications",Easy
4,Science,1,Introduction to Magnets (Theories),"Learn about the foundational elements, mechanisms, and real-world importance of Magnets tailored for Grade 1 students.","science, grade 1, magnets, theories",Easy
5,Science,1,Introduction to Heat (Exploration),"Learn about the foundational elements, mechanisms, and real-world importance of Heat tailored for Grade 1 students.","science, grade 1, heat, exploration",Easy
6,Science,1,Introduction to Force (Processes),"Learn about the foundational elements, mechanisms, and real-world importance of Force tailored for Grade 1 students.","science, grade 1, force, processes",Easy
7,Science,1,Introduction to Motion (Systems),"Learn about the foundational elements, mechanisms, and real-world importance of Motion tailored for Grade 1 students.","science, grade 1, motion, systems",Easy
8,Science,1,Introduction to Simple Machines (Impact),"Learn about the foundational elements, mechanisms, and real-world importance of Simple Machines tailored for Grade 1 students.","science, grade 1, simple machines, impact",Easy
9,Science,1,Introduction to Adaptations (Dynamics),"Learn about the foundational elements, mechanisms, and real-world importance of Adaptations tailored for Grade 1 students.","science, grade 1, adaptations, dynamics",Easy
10,Science,1,Introduction to States of Matter (Functions),"Learn about the foundational elements, mechanisms, and real-world importance of States of Matter tailored for Grade 1 students.","science, grade 1, states of matter, functions",Easy
11,Science,1,Introduction to Water Cycle (Structure),"Learn about the foundational elements, mechanisms, and real-world importance of Water Cycle tailored for Grade 1 students.","science, grade 1, water cycle, structure",Easy
12,Science,1,Introduction to Solar System (Key Ideas),"Learn about the foundational elements, mechanisms, and real-world importance of Solar System tailored for Grade 1 students.","science, grade 1, solar system, key ideas",Easy
13,Science,2,Introduction to Light (Basics),"Learn about the foundational elements, mechanisms, and real-world importance of Light tailored for Grade 2 students.","science, grade 2, light, basics",Easy
14,Science,2,Introduction to Sound (Principles),"Learn about the foundational elements, mechanisms, and real-world importance of Sound tailored for Grade 2 students.","science, grade 2, sound, principles",Easy
15,Science,2,Introduction to Electricity (Applications),"Learn about the foundational elements, mechanisms, and real-world importance of Electricity tailored for Grade 2 students.","science, grade 2, electricity, applications",Easy
16,Science,2,Introduction to Magnets (Theories),"Learn about the foundational elements, mechanisms, and real-world importance of Magnets tailored for Grade 2 students.","science, grade 2, magnets, theories",Easy
17,Science,2,Introduction to Heat (Exploration),"Learn about the foundational elements, mechanisms, and real-world importance of Heat tailored for Grade 2 students.","science, grade 2, heat, exploration",Easy
18,Science,2,Introduction to Force (Processes),"Learn about the foundational elements, mechanisms, and real-world importance of Force tailored for Grade 2 students.","science, grade 2, force, processes",Easy
19,Science,2,Introduction to Motion (Systems),"Learn about the foundational elements, mechanisms, and real-world importance of Motion tailored for Grade 2 students.","science, grade 2, motion, systems",Easy
20,Science,2,Introduction to Simple Machines (Impact),"Learn about the foundational elements, mechanisms, and real-world importance of Simple Machines tailored for Grade 2 students.","science, grade 2, simple machines, impact",Easy
21,Science,2,Introduction to Adaptations (Dynamics),"Learn about the foundational elements, mechanisms, and real-world importance of Adaptations tailored for Grade 2 students.","science, grade 2, adaptations, dynamics",Easy
22,Science,2,Introduction to States of Matter (Functions),"Learn about the foundational elements, mechanisms, and real-world importance of States of Matter tailored for Grade 2 students.","science, grade 2, states of matter, functions",Easy
23,Science,2,Introduction to Water Cycle (Structure),"Learn about the foundational elements, mechanisms, and real-world importance of Water Cycle tailored for Grade 2 students.","science, grade 2, water cycle, structure",Easy
24,Science,2,Introduction to Solar System (Key Ideas),"Learn about the foundational elements, mechanisms, and real-world importance of Solar System tailored for Grade 2 students.","science, grade 2, solar system, key ideas",Easy
25,Science,3,Introduction to Light (Basics),"Learn about the foundational elements, mechanisms, and real-world importance of Light tailored for Grade 3 students.","science, grade 3, light, basics",Easy
26,Science,3,Introduction to Sound (Principles),"Learn about the foundational elements, mechanisms, and real-world importance of Sound tailored for Grade 3 students.","science, grade 3, sound, principles",Easy
27,Science,3,Introduction to Electricity (Applications),"Learn about the foundational elements, mechanisms, and real-world importance of Electricity tailored for Grade 3 students.","science, grade 3, electricity, applications",Easy
28,Science,3,Introduction to Magnets (Theories),"Learn about the foundational elements, mechanisms, and real-world importance of Magnets tailored for Grade 3 students.","science, grade 3, magnets, theories",Easy
29,Science,3,Introduction to Heat (Exploration),"Learn about the foundational elements, mechanisms, and real-world importance of Heat tailored for Grade 3 students.","science, grade 3, heat, exploration",Easy
30,Science,3,Introduction to Force (Processes),"Learn about the foundational elements, mechanisms, and real-world importance of Force tailored for Grade 3 students.","science, grade 3, force, processes",Easy
31,Science,3,Introduction to Motion (Systems),"Learn about the foundational elements, mechanisms, and real-world importance of Motion tailored for Grade 3 students.","science, grade 3, motion, systems",Easy
32,Science,3,Introduction to Simple Machines (Impact),"Learn about the foundational elements, mechanisms, and real-world importance of Simple Machines tailored for Grade 3 students.","science, grade 3, simple machines, impact",Easy
33,Science,3,Introduction to Adaptations (Dynamics),"Learn about the foundational elements, mechanisms, and real-world importance of Adaptations tailored for Grade 3 students.","science, grade 3, adaptations, dynamics",Easy
34,Science,3,Introduction to States of Matter (Functions),"Learn about the foundational elements, mechanisms, and real-world importance of States of Matter tailored for Grade 3 students.","science, grade 3, states of matter, functions",Easy
35,Science,3,Introduction to Water Cycle (Structure),"Learn about the foundational elements, mechanisms, and real-world importance of Water Cycle tailored for Grade 3 students.","science, grade 3, water cycle, structure",Easy
36,Science,3,Introduction to Solar System (Key Ideas),"Learn about the foundational elements, mechanisms, and real-world importance of Solar System tailored for Grade 3 students.","science, grade 3, solar system, key ideas",Easy
37,Science,4,Understanding Light (Basics),"Learn about the foundational elements, mechanisms, and real-world importance of Light tailored for Grade 4 students.","science, grade 4, light, basics",Medium
38,Science,4,Understanding Sound (Principles),"Learn about the foundational elements, mechanisms, and real-world importance of Sound tailored for Grade 4 students.","science, grade 4, sound, principles",Medium
39,Science,4,Understanding Electricity (Applications),"Learn about the foundational elements, mechanisms, and real-world importance of Electricity tailored for Grade 4 students.","science, grade 4, electricity, applications",Medium
40,Science,4,Understanding Magnets (Theories),"Learn about the foundational elements, mechanisms, and real-world importance of Magnets tailored for Grade 4 students.","science, grade 4, magnets, theories",Medium
41,Science,4,Understanding Heat (Exploration),"Learn about the foundational elements, mechanisms, and real-world importance of Heat tailored for Grade 4 students.","science, grade 4, heat, exploration",Medium
42,Science,4,Understanding Force (Processes),"Learn about the foundational elements, mechanisms, and real-world importance of Force tailored for Grade 4 students.","science, grade 4, force, processes",Medium
43,Science,4,Understanding Motion (Systems),"Learn about the foundational elements, mechanisms, and real-world importance of Motion tailored for Grade 4 students.","science, grade 4, motion, systems",Medium
44,Science,4,Understanding Simple Machines (Impact),"Learn about the foundational elements, mechanisms, and real-world importance of Simple Machines tailored for Grade 4 students.","science, grade 4, simple machines, impact",Medium
45,Science,4,Understanding Adaptations (Dynamics),"Learn about the foundational elements, mechanisms, and real-world importance of Adaptations tailored for Grade 4 students.","science, grade 4, adaptations, dynamics",Medium
46,Science,4,Understanding States of Matter (Functions),"Learn about the foundational elements, mechanisms, and real-world importance of States of Matter tailored for Grade 4 students.","science, grade 4, states of matter, functions",Medium
47,Science,4,Understanding Water Cycle (Structure),"Learn about the foundational elements, mechanisms, and real-world importance of Water Cycle tailored for Grade 4 students.","science, grade 4, water cycle, structure",Medium
48,Science,4,Understanding Solar System (Key Ideas),"Learn about the foundational elements, mechanisms, and real-world importance of Solar System tailored for Grade 4 students.","science, grade 4, solar system, key ideas",Medium
49,Science,5,Understanding Light (Basics),"Learn about the foundational elements, mechanisms, and real-world importance of Light tailored for Grade 5 students.","science, grade 5, light, basics",Medium
50,Science,5,Understanding Sound (Principles),"Learn about the foundational elements, mechanisms, and real-world importance of Sound tailored for Grade 5 students.","science, grade 5, sound, principles",Medium
51,Science,5,Understanding Electricity (Applications),"Learn about the foundational elements, mechanisms, and real-world importance of Electricity tailored for Grade 5 students.","science, grade 5, electricity, applications",Medium
52,Science,5,Understanding Magnets (Theories),"Learn about the foundational elements, mechanisms, and real-world importance of Magnets tailored for Grade 5 students.","science, grade 5, magnets, theories",Medium
53,Science,5,Understanding Heat (Exploration),"Learn about the foundational elements, mechanisms, and real-world importance of Heat tailored for Grade 5 students.","science, grade 5, heat, exploration",Medium
54,Science,5,Understanding Force (Processes),"Learn about the foundational elements, mechanisms, and real-world importance of Force tailored for Grade 5 students.","science, grade 5, force, processes",Medium
55,Science,5,Understanding Motion (Systems),"Learn about the foundational elements, mechanisms, and real-world importance of Motion tailored for Grade 5 students.","science, grade 5, motion, systems",Medium
56,Science,5,Understanding Simple Machines (Impact),"Learn about the foundational elements, mechanisms, and real-world importance of Simple Machines tailored for Grade 5 students.","science, grade 5, simple machines, impact",Medium
57,Science,5,Understanding Adaptations (Dynamics),"Learn about the foundational elements, mechanisms, and real-world importance of Adaptations tailored for Grade 5 students.","science, grade 5, adaptations, dynamics",Medium
58,Science,5,Understanding States of Matter (Functions),"Learn about the foundational elements, mechanisms, and real-world importance of States of Matter tailored for Grade 5 students.","science, grade 5, states of matter, functions",Medium
59,Science,5,Understanding Water Cycle (Structure),"Learn about the foundational elements, mechanisms, and real-world importance of Water Cycle tailored for Grade 5 students.","science, grade 5, water cycle, structure",Medium
60,Science,5,Understanding Solar System (Key Ideas),"Learn about the foundational elements, mechanisms, and real-world importance of Solar System tailored for Grade 5 students.","science, grade 5, solar system, key ideas",Medium
61,Science,6,Understanding Light (Basics),"Learn about the foundational elements, mechanisms, and real-world importance of Light tailored for Grade 6 students.","science, grade 6, light, basics",Medium
62,Science,6,Understanding Sound (Principles),"Learn about the foundational elements, mechanisms, and real-world importance of Sound tailored for Grade 6 students.","science, grade 6, sound, principles",Medium
63,Science,6,Understanding Electricity (Applications),"Learn about the foundational elements, mechanisms, and real-world importance of Electricity tailored for Grade 6 students.","science, grade 6, electricity, applications",Medium
64,Science,6,Understanding Magnets (Theories),"Learn about the foundational elements, mechanisms, and real-world importance of Magnets tailored for Grade 6 students.","science, grade 6, magnets, theories",Medium
65,Science,6,Understanding Heat (Exploration),"Learn about the foundational elements, mechanisms, and real-world importance of Heat tailored for Grade 6 students.","science, grade 6, heat, exploration",Medium
66,Science,6,Understanding Force (Processes),"Learn about the foundational elements, mechanisms, and real-world importance of Force tailored for Grade 6 students.","science, grade 6, force, processes",Medium
67,Science,6,Understanding Motion (Systems),"Learn about the foundational elements, mechanisms, and real-world importance of Motion tailored for Grade 6 students.","science, grade 6, motion, systems",Medium
68,Science,6,Understanding Simple Machines (Impact),"Learn about the foundational elements, mechanisms, and real-world importance of Simple Machines tailored for Grade 6 students.","science, grade 6, simple machines, impact",Medium
69,Science,6,Understanding Adaptations (Dynamics),"Learn about the foundational elements, mechanisms, and real-world importance of Adaptations tailored for Grade 6 students.","science, grade 6, adaptations, dynamics",Medium
70,Science,6,Understanding States of Matter (Functions),"Learn about the foundational elements, mechanisms, and real-world importance of States of Matter tailored for Grade 6 students.","science, grade 6, states of matter, functions",Medium
71,Science,6,Understanding Water Cycle (Structure),"Learn about the foundational elements, mechanisms, and real-world importance of Water Cycle tailored for Grade 6 students.","science, grade 6, water cycle, structure",Medium
72,Science,6,Understanding Solar System (Key Ideas),"Learn about the foundational elements, mechanisms, and real-world importance of Solar System tailored for Grade 6 students.","science, grade 6, solar system, key ideas",Medium
73,Science,7,Understanding Light (Basics),"Learn about the foundational elements, mechanisms, and real-world importance of Light tailored for Grade 7 students.","science, grade 7, light, basics",Medium
74,Science,7,Understanding Sound (Principles),"Learn about the foundational elements, mechanisms, and real-world importance of Sound tailored for Grade 7 students.","science, grade 7, sound, principles",Medium
75,Science,7,Understanding Electricity (Applications),"Learn about the foundational elements, mechanisms, and real-world importance of Electricity tailored for Grade 7 students.","science, grade 7, electricity, applications",Medium
76,Science,7,Understanding Magnets (Theories),"Learn about the foundational elements, mechanisms, and real-world importance of Magnets tailored for Grade 7 students.","science, grade 7, magnets, theories",Medium
