Question_ID,Topic,Question,Answer,Options,Difficulty,Type
1,Introduction to Light (Basics),What is the primary purpose of Introduction to Light (Basics)?,To study and explain the properties and functions of Light in Science.,To study and explain the properties and functions of Light in Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Easy,MCQ
2,Introduction to Light (Basics),Which of the following is a direct application of Introduction to Light (Basics)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Easy,MCQ
3,Introduction to Light (Basics),True or False: The study of Introduction to Light (Basics) is essential for a complete understanding of Science concepts.,True,True|False,Easy,True/False
4,Introduction to Light (Basics),Complete the sentence: ________ is a core foundation of the lesson Introduction to Light (Basics).,Light,,Easy,Fill in the Blanks
5,Introduction to Light (Basics),Match the term 'Light' with its correct definition or category.,Light corresponds to Science branch,Light -> Science branch|Other terms -> Other categories,Easy,Match the Following
6,Introduction to Sound (Principles),What is the primary purpose of Introduction to Sound (Principles)?,To study and explain the properties and functions of Sound in Science.,To study and explain the properties and functions of Sound in Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Easy,MCQ
7,Introduction to Sound (Principles),Which of the following is a direct application of Introduction to Sound (Principles)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Easy,MCQ
8,Introduction to Sound (Principles),True or False: Introduction to Sound (Principles) has no relevance outside of Grade 1 curriculum.,False,True|False,Easy,True/False
9,Introduction to Sound (Principles),Complete the sentence: ________ is a core foundation of the lesson Introduction to Sound (Principles).,Sound,,Easy,Fill in the Blanks
10,Introduction to Sound (Principles),Match the term 'Sound' with its correct definition or category.,Sound corresponds to Science branch,Sound -> Science branch|Other terms -> Other categories,Easy,Match the Following
11,Introduction to Electricity (Applications),What is the primary purpose of Introduction to Electricity (Applications)?,To study and explain the properties and functions of Electricity in Science.,To study and explain the properties and functions of Electricity in Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Easy,MCQ
12,Introduction to Electricity (Applications),Which of the following is a direct application of Introduction to Electricity (Applications)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Easy,MCQ
13,Introduction to Electricity (Applications),True or False: Introduction to Electricity (Applications) has no relevance outside of Grade 1 curriculum.,False,True|False,Easy,True/False
14,Introduction to Electricity (Applications),Complete the sentence: ________ is a core foundation of the lesson Introduction to Electricity (Applications).,Electricity,,Easy,Fill in the Blanks
15,Introduction to Electricity (Applications),Match the term 'Electricity' with its correct definition or category.,Electricity corresponds to Science branch,Electricity -> Science branch|Other terms -> Other categories,Easy,Match the Following
16,Introduction to Magnets (Theories),What is the primary purpose of Introduction to Magnets (Theories)?,To study and explain the properties and functions of Magnets in Science.,To study and explain the properties and functions of Magnets in Science.|To ignore the effects in the environment.|To increase industrial output only.|To create unrelated visual diagrams.,Easy,MCQ
17,Introduction to Magnets (Theories),Which of the following is a direct application of Introduction to Magnets (Theories)?,Using its core principles to solve practical real-world problems.,Using its core principles to solve practical real-world problems.|Avoiding it altogether in daily life.|Using it only in theoretical physics.|None of the options.,Easy,MCQ
18,Introduction to Magnets (Theories),True or False: The study of Introduction to Magnets (Theories) is essential for a complete understanding of Science concepts.,True,True|False,Easy,True/False
19,Introduction to Magnets (Theories),Complete the sentence: ________ is a core foundation of the lesson Introduction to Magnets (Theories).,Magnets,,Easy,Fill in the Blanks
