Student_ID,Topic,Quiz_Score,Completion_Time,Mastery_Level
STU0190,Understanding Climate Zones (Theories),88,175,Mastered
STU0321,Introduction to Circulation (Theories),63,184,Proficient
STU0134,Understanding Atoms and Molecules (Theories),100,164,Mastered
STU0086,Understanding Electromagnetism (Functions),60,194,Proficient
STU0499,Advanced Concepts of Probability (Dynamics),52,547,Needs Improvement
STU0445,Understanding Maps and Scales (Key Ideas),80,304,Proficient
STU0081,Understanding Health and Diseases (Key Ideas),69,346,Proficient
STU0149,Understanding Indian Independence (Functions),72,264,Proficient
STU0258,Advanced Concepts of Respiration (Applications),80,369,Proficient
STU0446,Understanding Sound Waves (Processes),73,321,Proficient
STU0237,Advanced Concepts of Fractions (Basics),73,323,Proficient
STU0092,Advanced Concepts of Geometry (Exploration),91,328,Mastered
STU0107,Understanding Decimals (Principles),65,275,Proficient
STU0085,Understanding Adaptations (Dynamics),100,169,Mastered
STU0440,Understanding Coal and Petroleum (Functions),86,219,Mastered
STU0118,Understanding Civics (Functions),66,277,Proficient
STU0402,Advanced Concepts of Laws of Motion (Basics),84,359,Proficient
STU0114,Understanding Sound Waves (Processes),97,291,Mastered
STU0043,Understanding Subject-Verb Agreement (Functions),57,415,Needs Improvement
STU0364,Advanced Concepts of Classification of Organisms (Functions),90,255,Mastered
STU0311,Advanced Concepts of Circulation (Theories),54,624,Needs Improvement
STU0186,Introduction to Subject-Verb Agreement (Functions),80,187,Proficient
STU0019,Introduction to Agriculture (Impact),86,154,Mastered
STU0183,Introduction to Verbs (Principles),82,179,Proficient
STU0006,Understanding Motion (Systems),79,296,Proficient
STU0180,Introduction to Cell Division (Dynamics),48,269,Needs Improvement
STU0126,Understanding Geometry (Exploration),53,349,Needs Improvement
STU0096,Introduction to Heat (Exploration),57,308,Needs Improvement
STU0125,Advanced Concepts of Sound Waves (Processes),63,349,Proficient
STU0428,Advanced Concepts of Heat (Exploration),62,495,Proficient
STU0263,Understanding Microorganisms (Structure),63,320,Proficient
STU0302,Introduction to Chemical Bonding (Impact),61,193,Proficient
STU0289,Introduction to Light Refraction (Impact),65,166,Proficient
STU0500,Understanding Renaissance (Impact),95,187,Mastered
STU0085,Understanding Decimals (Principles),63,299,Proficient
STU0053,Introduction to Laws of Motion (Basics),24,191,Needs Improvement
STU0388,Understanding Pronouns (Theories),56,285,Needs Improvement
STU0294,Understanding Sound Waves (Processes),57,498,Needs Improvement
STU0108,Understanding Light Refraction (Impact),100,250,Mastered
STU0479,Advanced Concepts of Plate Tectonics (Applications),74,461,Proficient
STU0190,Introduction to Oceans (Exploration),83,148,Proficient
STU0179,Introduction to Verbs (Principles),80,147,Proficient
STU0088,Understanding Freedom Struggle (Principles),73,217,Proficient
STU0487,Advanced Concepts of Sound (Principles),76,315,Proficient
STU0067,Introduction to Sound Waves (Processes),78,177,Proficient
STU0331,Advanced Concepts of Genetics (Impact),80,379,Proficient
STU0041,Introduction to Sound Waves (Processes),65,214,Proficient
STU0124,Advanced Concepts of Ancient Egypt (Structure),64,475,Proficient
STU0490,Understanding Solar System (Key Ideas),62,279,Proficient
STU0115,Introduction to Coal and Petroleum (Functions),73,174,Proficient
STU0264,Introduction to Digestion (Principles),66,215,Proficient
STU0278,Introduction to Coal and Petroleum (Functions),57,193,Needs Improvement
STU0150,Introduction to Respiration (Applications),83,184,Proficient
STU0102,Understanding Data Handling (Functions),78,305,Proficient
STU0244,Advanced Concepts of Atoms and Molecules (Theories),68,389,Proficient
STU0266,Advanced Concepts of Motion (Systems),61,364,Proficient
STU0326,Advanced Concepts of Integers (Processes),68,381,Proficient
STU0353,Advanced Concepts of Cold War (Key Ideas),97,276,Mastered
STU0428,Understanding Electricity (Applications),75,249,Proficient
STU0355,Introduction to Rivers (Processes),45,253,Needs Improvement
STU0445,Understanding Light (Basics),61,296,Proficient
STU0483,Advanced Concepts of Heat (Exploration),85,299,Mastered
STU0279,Advanced Concepts of Microorganisms (Structure),100,339,Mastered
STU0283,Introduction to Subject-Verb Agreement (Functions),97,177,Mastered
STU0149,Understanding Geometry (Exploration),55,326,Needs Improvement
STU0070,Introduction to Fractions (Basics),82,150,Proficient
STU0060,Introduction to Civics (Functions),78,163,Proficient
STU0019,Advanced Concepts of Civics (Functions),77,363,Proficient
STU0020,Advanced Concepts of Measurement (Key Ideas),87,280,Mastered
STU0216,Advanced Concepts of Medieval Period (Systems),74,326,Proficient
STU0232,Introduction to Classification of Organisms (Functions),96,164,Mastered
STU0275,Understanding Local Government (Exploration),89,238,Mastered
STU0399,Advanced Concepts of States of Matter (Dynamics),50,517,Needs Improvement
STU0369,Advanced Concepts of Magnetism (Exploration),100,280,Mastered
STU0399,Advanced Concepts of Tenses (Exploration),93,258,Mastered
STU0120,Introduction to Light Refraction (Impact),78,165,Proficient
STU0077,Introduction to Health and Diseases (Key Ideas),52,170,Needs Improvement
STU0242,Introduction to Thermodynamics (Dynamics),86,150,Mastered
STU0419,Introduction to Water Cycle (Structure),87,159,Mastered
STU0457,Advanced Concepts of Solar System (Basics),76,484,Proficient
STU0208,Advanced Concepts of Circulation (Theories),74,411,Proficient
STU0153,Understanding Chemical Bonding (Impact),42,364,Needs Improvement
STU0250,Introduction to Oceans (Exploration),61,125,Proficient
STU0339,Understanding Local Government (Exploration),36,258,Needs Improvement
STU0374,Understanding Solar System (Key Ideas),43,368,Needs Improvement
STU0238,Advanced Concepts of States of Matter (Dynamics),50,612,Needs Improvement
STU0109,Understanding Profit and Loss (Systems),80,266,Proficient
STU0182,Understanding Plant Reproduction (Processes),82,213,Proficient
STU0113,Understanding Oceans (Exploration),100,239,Mastered
STU0351,Advanced Concepts of Weather (Systems),66,383,Proficient
STU0121,Introduction to Plant Reproduction (Processes),100,129,Mastered
STU0179,Understanding Solutions (Exploration),85,154,Mastered
STU0431,Advanced Concepts of Ancient Civilizations (Basics),61,414,Proficient
STU0338,Introduction to Roman Empire (Principles),90,115,Mastered
STU0491,Understanding Electromagnetism (Functions),77,289,Proficient
STU0462,Introduction to Freedom Struggle (Principles),69,151,Proficient
STU0265,Introduction to Sound (Principles),77,137,Proficient
STU0084,Introduction to Vocabulary (Structure),75,192,Proficient
STU0184,Advanced Concepts of Indus Valley Civilization (Basics),72,388,Proficient
STU0190,Understanding Carbon Compounds (Systems),75,292,Proficient
STU0190,Understanding Heat (Exploration),47,335,Needs Improvement
STU0255,Advanced Concepts of French Revolution (Applications),57,522,Needs Improvement
STU0499,Introduction to Agriculture (Impact),55,197,Needs Improvement
STU0103,Advanced Concepts of Indus Valley Civilization (Basics),100,322,Mastered
STU0123,Understanding Simple Machines (Impact),55,466,Needs Improvement
STU0428,Understanding Adjectives (Applications),49,295,Needs Improvement
STU0345,Understanding Solutions (Exploration),60,316,Proficient
STU0013,Understanding Combustion (Key Ideas),69,272,Proficient
STU0197,Introduction to Fractions (Basics),86,147,Mastered
STU0157,Understanding Weather (Systems),90,144,Mastered
STU0327,Understanding Combustion (Key Ideas),73,312,Proficient
STU0476,Advanced Concepts of Force (Processes),69,373,Proficient
STU0113,Understanding Electricity (Applications),100,237,Mastered
STU0162,Introduction to Indus Valley Civilization (Basics),84,182,Proficient
STU0476,Introduction to Chemical Reactions (Principles),68,183,Proficient
STU0118,Understanding Chemical Reactions (Principles),99,184,Mastered
STU0224,Understanding Weather (Systems),100,187,Mastered
STU0151,Advanced Concepts of States of Matter (Functions),64,296,Proficient
STU0258,Understanding Laws of Motion (Basics),38,507,Needs Improvement
STU0084,Understanding Chemical Reactions (Principles),40,414,Needs Improvement
STU0091,Advanced Concepts of Agriculture (Impact),86,369,Mastered
STU0406,Introduction to Water Cycle (Structure),59,223,Needs Improvement
STU0338,Introduction to Light Refraction (Impact),69,162,Proficient
STU0374,Understanding Adaptations (Dynamics),73,339,Proficient
STU0038,Introduction to Adjectives (Applications),61,218,Proficient
STU0378,Advanced Concepts of Friction (Key Ideas),72,498,Proficient
STU0494,Advanced Concepts of Measurement (Key Ideas),85,301,Mastered
STU0122,Introduction to Roman Empire (Principles),88,129,Mastered
STU0138,Advanced Concepts of Data Handling (Functions),84,320,Proficient
STU0452,Introduction to Nouns (Basics),75,214,Proficient
STU0001,Understanding Verbs (Principles),66,247,Proficient
STU0449,Introduction to Integers (Processes),52,196,Needs Improvement
STU0218,Advanced Concepts of Globe and Maps (Processes),85,253,Mastered
STU0281,Introduction to Coal and Petroleum (Functions),82,230,Proficient
STU0076,Introduction to Periodic Table (Applications),56,228,Needs Improvement
STU0034,Introduction to Vocabulary (Structure),100,133,Mastered
STU0392,Advanced Concepts of Tenses (Exploration),68,375,Proficient
STU0240,Introduction to Weather (Systems),48,197,Needs Improvement
STU0470,Introduction to Rivers (Processes),60,149,Proficient
STU0378,Introduction to Subject-Verb Agreement (Functions),71,182,Proficient
STU0141,Introduction to Nouns (Basics),77,124,Proficient
STU0318,Understanding Prepositions (Dynamics),100,216,Mastered
